# Name	RA	Dec	Kdmag	e_Kdmag
HD 182694	290.985	43.3882	50	0.01
HD 27277	65.2231	50.2717	50	0.01
HD 135153	228.655	-31.5191	50	0.01
HD 6130	15.9042	61.0748	50	0.01
HD 13174	32.3555	25.9398	50	0.01
HD 108519	186.943	27.4228	50	0.01
HD 87822	152.066	31.6041	50	0.01
HD 16232	39.2406	24.6481	50	0.01
HD 17918	43.2987	16.4835	50	0.01
HD 218804	347.614	43.544	50	0.01
HD 27524	65.3819	21.0399	50	0.01
HD 75555	133.091	44.8976	50	0.01
HD 160365	264.741	13.3293	50	0.01
HD 51956	104.882	0.916766	50	0.01
HD 220657	351.345	23.4041	50	0.01
HD 111844	192.977	19.1681	50	0.01
HD 219623	349.176	53.2135	50	0.01
HD 102870	177.674	1.76472	50	0.01
HD 6903	17.455	19.6584	50	0.01
HD 176051	284.257	32.9013	50	0.01
HD 165908	271.757	30.5621	50	0.01
HD 74395	130.918	-7.23373	50	0.01
HD 216219	342.717	18.0021	50	0.01
HD 21018	50.9125	4.8821	50	0.01
HD 10307	25.4464	42.6134	50	0.01
HD 95128	164.867	40.4303	50	0.01
HD 20619	49.7579	-2.84319	50	0.01
HD 42454	93.0229	29.4921	50	0.01
HD 39949	89.2731	27.3167	50	0.01
HD 3421	9.33842	35.3995	50	0.01
HD 219477	348.943	28.2479	50	0.01
HD 10697	26.2326	20.0831	50	0.01
HD 94481	163.574	-13.758	50	0.01
HD 108477	186.956	-16.6318	50	0.01
HD 214850	340.22	14.5492	50	0.01
HD 18474	44.9575	47.2207	50	0.01
HD 193896	305.753	-9.65471	50	0.01
HD 202314	318.543	29.901	50	0.01
HD 58367	111.412	9.27609	50	0.01
HD 115617	199.601	-18.3112	50	0.01
HD 20618	49.9825	27.0711	50	0.01
HD 114946	198.545	-19.9309	50	0.01
HD 16139	39.075	27.4723	50	0.01
HD 104979	181.302	8.73302	50	0.01
HD 222093	354.415	-13.0602	50	0.01
HD 179870	288.473	9.03322	50	0.01
HD 100006	172.621	18.4098	50	0.01
HD 145675	242.601	43.8176	50	0.01
HD 164349	270.014	16.7509	50	0.01
HD 9852	24.4635	61.8616	50	0.01
HD 91810	159.336	56.4313	50	0.01
HD 25975	62.0641	37.7275	50	0.01
HD 165438	271.563	-4.75125	50	0.01
HD 2901	8.19804	54.1199	50	0.01
HD 132935	225.518	-8.34472	50	0.01
HD 16068	39.22	55.9154	50	0.01
HD 221246	352.531	49.1331	50	0.01
HD 99998	172.579	-3.0035	50	0.01
HD 114960	198.49	1.45645	50	0.01
HD 45977	97.5304	-11.8089	50	0.01
HD 36003	82.1087	-3.49955	50	0.01
HD 237903	157.605	55.9991	50	0.01
HD 213893	338.65	0.595178	50	0.01
HD 19305	46.6114	1.96517	50	0.01
HD 209290	330.543	1.40023	50	0.01
Gl 273	111.852	5.22579	50	0.01
LP 412-31	50.2488	18.9063	50	0.01
DENIS J104814.6-395606	162.061	-39.9352	50	0.01
LP 944-20	54.8969	-35.4288	50	0.01
RAFGL 1686	212.823	-7.74718	50	0.01
HD 76846	134.954	33.774	50	0.01
2MASS J07464256+2000321	116.677	20.0089	50	0.01
2MASS J14392836+1929149	219.867	19.4878	50	0.01
2MASS J02081833+2542533	32.0766	25.7148	50	0.01
Kelu 1	196.417	-25.6849	50	0.01
2MASS J11463449+2230527	176.644	22.515	50	0.01
2MASS J15065441+1321060	226.726	13.3517	50	0.01
2MASS J00361617+1821104	9.06713	18.3529	50	0.01
2MASS J22244381-0158521	336.183	-1.98147	50	0.01
2MASS J15074769-1627386	226.949	-16.4611	50	0.01
SDSS J053951.99-005902.0	84.9667	-0.983747	50	0.01
2MASS J15150083+4847416	228.754	48.7948	50	0.01
2MASS J08251968+2115521	126.332	21.2643	50	0.01
DENIS J025503.3-470049	43.7654	-47.0143	50	0.01
SDSS J125453.90-012247.4	193.725	-1.37983	50	0.01
2MASS J05591914-1404488	89.8299	-14.0803	50	0.01
